participant_id,sample_id,emotion_sentence,all_timestamps,all_valence_values,all_arousal_values,emotion_sentence_clean,familiarity_rating,film,composer,song_name,year,soundtrack,director,genre,ISRC
_14q3qbw23,/audioFolder3//film-score-emotion-survey/audioFolder3/family_trip_jung_jaeil_broker_sample_1,"First marker music changes from positive and sure to unsure and concerned, second marker changes to sad, let down, depressed, third marker changes to hesitant hope.","[7.93125, 8.84263321995464, 13.43125]","[-0.363, -0.562, 0.347]","[0.002, -0.538, -0.368]",marker music changes positive sure unsure concerned second marker changes sad let depressed marker changes hesitant hope,never-heard-this,Broker,Jung Jaeil,Family Trip,2022,0,Hirokazu Koreeda,Drama Music,KRA492200517
_14q3qbw23,/audioFolder4//film-score-emotion-survey/audioFolder4/i_remember_you_christopher_bear_daniel_rossen_past_lives_sample_1,"First marker music changed with surprise and hope, second marker it felt resigned that the hope would not come true","[6.20395578674179, 12.44375]","[0.552, -0.182]","[0.562, 0.002]",marker music changed surprise hope second marker felt resigned hope come true,never-heard-this,Past Lives,"Christopher Bear, Daniel Rossen",I Remember You,2023,0,Celine Song,Drama Sci-Fi Romance,QMB622301636
_14q3qbw23,/audioFolder5//film-score-emotion-survey/audioFolder5/ludovico_einaudi_low_mist_var2_day_1__the_father_sample_2,Before the marker the music felt hopeful and positive and after it felt neutral and signifying we will soon have answers,[1.87078671963577],[-0.002],[-0.033],marker music felt hopeful positive felt neutral signifying soon answers,never-heard-this,A Hidden Life,James Newton Howard,Hope,2019,0,Terrence Malick,Drama Mystery,GBUM71507239
_14q3qbw23,/audioFolder6//film-score-emotion-survey/audioFolder6/pawel_mykietynlove_story_eo_sample_1,"I did not sense a change in mood in this piece, I felt the whole piece was curious",[0.04375],[0.163],[0.177],did sense change mood piece felt piece curious,never-heard-this,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama,USQX92204436
_14q3qbw23,/audioFolder7//film-score-emotion-survey/audioFolder7/root_of_an_unfocus_borisbermanjohn_cageshutter_island_sample_2,"I did not sense a change in mood in this piece, the whole piece felt intimidating and threatening ",[0.0],[-0.732],[0.017],did sense change mood piece piece felt intimidating threatening,never-heard-this,Shutter Island,John Cage/Boris Berman,Root of an Unfocus,2010,1,Martin Scorsese,Mystery Thriller,HKI190020409
_14q3qbw23,alberto_iglesias_claqueta_final_pain_and_glory_sample_1,"The segment before the marker was full of anticipation and felt unsure and concerned, from the marker onwards the music changed from anticipation to a positive realisation that felt pleasing.",[12.70625],[0.732],[0.362],segment marker anticipation felt unsure concerned marker onwards music changed anticipation positive realisation felt pleasing,familiar-feeling-not-familiar,Pain and Glory,Alberto Iglesias,Claqueta final,2019,0,Pedro Almodóvar,Drama,ES6311900024
_19x1mwtfx,/audioFolder10//film-score-emotion-survey/audioFolder10/what_this_missions_about__da_5_bloods_terence_blanchard_sample_2,"This felt pretty cheerful and triumphant, also a little militaristic so overall positive but not relaxing. I could have added another dot at each of the points where the phrase repeated itself but it would have been in the same place as the purple one.","[0.0532150776053215, 0.838137472283814]","[0.411, 0.701]","[0.762, 0.917]",felt pretty cheerful triumphant little militaristic overall positive relaxing added dot points phrase repeated place purple,familiar-feeling-not-familiar,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000187
_19x1mwtfx,/audioFolder2//film-score-emotion-survey/audioFolder2/ciao_papa_gregory_mann_alexandre_desplat_guillermo_del_toros_pinnochio_sample_1,"This one seems fairly cheerful but with a bit of melancholy in there, the last marker seemed the most uplifting and energetic (but not very).","[5.1601256969898, 12.8841482017789, 1.84922394678492]","[-0.174, 0.371, 0.186]","[-0.178, 0.362, 0.372]",fairly cheerful bit melancholy marker uplifting energetic,familiar-feeling-not-familiar,Guillermo del Toro's Pinocchio,"Alexandre Desplat, Gregory Mann, Guillermo del Toro",Ciao Papa,2022,0/1,"Guillermo del Toro, Mark Gustafson",Animation Drama Family,QZ8BZ2202964
_19x1mwtfx,/audioFolder3//film-score-emotion-survey/audioFolder3/gudnadottir_for_petra_tar_hildurgudnadottir_sample_2,This one sounded a bit intense and scary and discordant (particularly the third (purple) marker).,"[1.42350332594235, 3.13968957871397, 5.28159645232816, 6.91955734548068, 8.88691796008869]","[-0.544, -0.899, -0.784, -0.864, -0.094]","[0.347, 0.087, 0.082, 0.312, 0.252]",sounded bit intense scary discordant particularly purple marker,never-heard-this,Tár,Hildur Guðnadóttir,For Petra,2022,0/1,Todd Field,Drama Music,USQ4E2201059
_19x1mwtfx,/audioFolder4//film-score-emotion-survey/audioFolder4/into_the_wild_timekeeper_michael_brook_sample_2,I liked this piece: at the first (green) marker it sounds gently menacing (not in any immediate danger but need to keep your wits about you). I wanted to know what happened next after the purple dot.,"[11.9866962305987, 0.537446541070234, 3.48558758314856, 5.41463414634146, 14.1880680372667]","[0.121, -0.179, 0.051, 0.001, 0.306]","[0.182, 0.552, 0.812, -0.243, 0.277]",liked piece green marker sounds gently menacing immediate danger need wits wanted know happened purple dot,never-heard-this,Into the Wild,Michael Brook,Timekeeper,2007,0,Sean Penn,Adventure Biography Drama,USLS50797704
_19x1mwtfx,/audioFolder5//film-score-emotion-survey/audioFolder5/lost_but_won_hans_zimmer_rush_sample_1,"Loved this one, sounds exciting and dramatic and tense but not menacing. The two purple / pink dots felt like the neutral positivity of the track with a slight change to lower positivity (probably just a bit minor key) at orange and then getting a bit more vibrant at the green and blue key changes.","[11.8669623059867, 3.44567627494457, 6.15964523281597, 10.7361419068736, 0.0665188470066518]","[0.801, 0.086, 0.466, 0.691, 0.456]","[0.917, 0.932, 0.912, 0.922, 0.937]",loved sounds exciting dramatic tense menacing purple pink dots felt like neutral positivity track slight change lower positivity probably just bit minor key orange getting bit vibrant green blue key changes,never-heard-this,Rush,Hans Zimmer,Lost but Won,2013,0,Ron Howard,Horror Mystery Thriller,USNLR1300519
_19x1mwtfx,/audioFolder6//film-score-emotion-survey/audioFolder6/paddy__tommy__mark_ishamwarrior_sample_2,"Loved this one too, very relaxing, though the intensity of the background note (seemed strongest at the green marker) felt like a warning though. ","[0.0532150776053214, 3.69844789356985, 10.5764966740577, 12.9312638580931]","[0.186, 0.086, -0.184, 0.371]","[0.367, 0.367, 0.552, 0.467]",loved relaxing intensity background note strongest green marker felt like warning,never-heard-this,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Action Drama Sport,USLS51123102
_19x1mwtfx,/audioFolder7//film-score-emotion-survey/audioFolder7/root_of_an_unfocus_borisbermanjohn_cageshutter_island_sample_1,"This felt tense and jarring and not musical. The initial beat was unsettling and quiet then it got loud and unsettling before returning to the quieter beat, but still not calm. ","[2.78048780487805, 4.61640798226164, 11.4013303769401]","[-0.364, -0.549, -0.354]","[0.062, 0.722, 0.097]",felt tense jarring musical initial beat unsettling quiet got loud unsettling returning quieter beat calm,never-heard-this,Shutter Island,John Cage/Boris Berman,Root of an Unfocus,2010,1,Martin Scorsese,Mystery Thriller,HKI190020409
_19x1mwtfx,/audioFolder8//film-score-emotion-survey/audioFolder8/summer_montage_madeline_la_la_land_justin_hurwitz_sample_2,"Really cheerful upbeat tune with lots of energy and positive emotion although a bit too frenetic for my tastes. Please ignore the very last dot (have put it at (0,0) as I didn't know how to delete one dot.","[14.9899283527158, 0.279379157427938, 1.16124429964151, 4.3370288248337, 5.45454545454546, 10.1374722838137]","[0.001, 0.716, 0.826, 0.936, 0.526, 0.961]","[0.002, 0.832, 0.832, 0.947, 0.697, 0.902]",really cheerful upbeat tune lots energy positive emotion bit frenetic tastes ignore dot didnt know delete dot,never-heard-this,La La Land,Justin Hurwitz,Summer Montage / Madeline,2016,0,Damien Chazelle,Horror Mystery Thriller,USUG11600663
_19x1mwtfx,/audioFolder9//film-score-emotion-survey/audioFolder9/the_hunt_theend_nikolaj_egelund_sample_1,This one felt more like a resolution (typical of end credits) so not at any extremes of emotion or energy. Quite pleasant.,"[0.186252771618625, 4.54988913525499, 8.38137472283814, 10.2738653835518, 12.2313311311221]","[0.266, 0.096, 0.261, 0.181, 0.136]","[0.367, 0.447, 0.437, 0.657, 0.547]",felt like resolution typical end credits extremes emotion energy quite pleasant,never-heard-this,The Hunt,Nikolaj Egeland,The End,2012,0,Thomas Vinterberg,Drama,DKI4A1202001
_19x1mwtfx,allquietonthewesternfront_remainsvolkerbertelmann_sample_1,"Slightly startled and unnerved at the first and third marker, it felt menacing and calmed down a bit at the 2nd and 4th markers, but still didn't sound very positive.","[2.56762749445677, 5.21134691866398, 10.6053659542161, 12.9200826583405]","[-0.264, -0.259, -0.289, -0.214]","[0.737, -0.368, 0.722, -0.363]",slightly startled unnerved marker felt menacing calmed bit nd th markers didnt sound positive,never-heard-this,The Power of the Dog,Jonny Greenwood,West,2021,0,Jane Campion,Action Drama War,GBUM72106709
_1cpqpmytm,/audioFolder10//film-score-emotion-survey/audioFolder10/sparkleyournameradwimps_sample_2,"All the atmosphere I can get is giggling. The first part was very silly, that was my feeling. I was already feeling happy and a little lonely. Marker second is a point where I not fully expected due to the piano notes, but made me feel cozy, with marker three being the best finally for making me feel delighted, being really calmed at the end.","[4.44, 8.08366297468355, 11.8558148734177]","[0.631, 0.801, 0.916]","[0.346, 0.506, 0.101]",atmosphere giggling silly feeling feeling happy little lonely marker second point fully expected piano notes feel cozy marker best finally making feel delighted really calmed end,definitely-familiar,Your Name.,Radwimps,Sparkle,2016,1,Makoto Shinkai,Animation Drama Fantasy,FR9W11818769
_1cpqpmytm,/audioFolder2//film-score-emotion-survey/audioFolder2/creation_mica_levi_under_the_skin_sample_1,"All the energy kept me all tense. In the first marker, the absence of an instrument and the hearing of the pulse made me feel really tense and focused. Second marker made feel a little less tense and more open to the sounds, following to a third marker that actually made me feel curious, with last marker making me feel energized and scared but willing so much to hear how it ends.","[3.50138449367088, 6.03303006329114, 10.9823971518987, 13.3494857594937]","[-0.359, -0.429, -0.419, -0.749]","[0.706, 0.826, 0.581, 0.946]",energy kept tense marker absence instrument hearing pulse feel really tense focused second marker feel little tense open sounds following marker actually feel curious marker making feel energized scared willing hear ends,familiar-feeling-not-familiar,Under The Skin,Mica Levi,Creation,2013,0,Jonathan Glazer,Drama Horror Mystery,US5941404624
_1cpqpmytm,/audioFolder3//film-score-emotion-survey/audioFolder3/fare_thee_well_dinkssong_oscar_isaac_marcus_mumford_inside_llewyn_davis_sample_1,"I find this piece a little bit plane, and the voice grabs all my attention so I mute a bit my feelings. The first marker, when the voice phrase comes to an end, makes everything feels calmer. There's a little bit of energy that is compensated later with marker 2 and 3, that takes more energy and overall it makes me feel happy.","[5.47606803797468, 11.1596123417722, 13.4760680379747]","[0.676, 0.826, 0.681]","[-0.094, 0.111, 0.126]",piece little bit plane voice grabs attention mute bit feelings marker voice phrase comes end makes feels calmer theres little bit energy compensated later marker takes energy overall makes feel happy,familiar-feeling-not-familiar,Inside Llewyn Davis,"Oscar Isaac, Marcus Mumford",Fare Thee Well (Dink's Song),2013,0/1,"Ethan Coen, Joel Coen",Horror Mystery Thriller,USNO11300699
_1cpqpmytm,/audioFolder4//film-score-emotion-survey/audioFolder4/john_williams_the_fabelmans_sample_2,"This type of piano pieces are always sad for me. The first bit is the saddest, definitely. The first maker, when there is a pause, is the most nostalgic moment. Somehow, in the next two markers, I feel I have a little bit of hope, when notes are mixed a little more happily-.","[3.54887816455695, 8.99505537974683, 12.6279667721519]","[-0.619, -0.394, -0.404]","[-0.664, -0.309, -0.474]",type piano pieces sad bit saddest definitely maker pause nostalgic moment markers feel little bit hope notes mixed little happily,not-sure,A Hidden Life,James Newton Howard,Hope,2019,0,Terrence Malick,Drama,USQX92205176
_1cpqpmytm,/audioFolder5//film-score-emotion-survey/audioFolder5/lasvisitas_alberto__iglesias_parallel_mothers_sample_1,"The change of feelings is very intense in this clip. In the first marker, I feel like all the tension built in the first part got off and felt suddenly calmed but threw me to a new feeling of excitement. Second marker made me feel a little calmer but expecting something else. Marker three totally annoyed me after hearing it for a while, totally creeping me out.","[3.05834651898734, 7.66101318565401, 9.77986550632911]","[-0.174, -0.349, -0.579]","[0.591, 0.076, 0.741]",change feelings intense clip marker feel like tension built got felt suddenly calmed threw new feeling excitement second marker feel little calmer expecting marker totally annoyed hearing totally creeping,not-sure,Talk To Me,Cornel Wilczek,Mother,2022,0,"Danny Philippou, Michael Philippou",Drama,ES63I2100003
_1cpqpmytm,/audioFolder6//film-score-emotion-survey/audioFolder6/mildred_goes_to_war__carter_burwell_three_billboards_outside_ebbing_missouri_sample_2,"First three markes are pretty much the finale of a phrase in the music that makes me feel really curious about what was about to happen. All of them made me feel different things in simmilar intensity and positivity, I just got more attracted. Marker 4 is the one that put high energy and got me anxious and excited.","[11.3621439873418, 3.59765453586498, 6.42391613924051, 12.4634098101266]","[0.481, 0.356, 0.471, 0.256]","[0.471, 0.566, 0.586, 0.761]",markes pretty finale phrase music makes feel really curious happen feel different things simmilar intensity positivity just got attracted marker high energy got anxious excited,familiar,"Three Billboards Outside Ebbing, Missouri",Carter Burwell,Mildred Goes To War,2017,0,Martin McDonagh,Comedy Crime Drama,GB6LT1700515
_1cpqpmytm,/audioFolder7//film-score-emotion-survey/audioFolder7/shiva_theme_brahmastra__pritam_sample_1,"Made me feel really epic! The first part makes me feel energetic and emotional. The energy is higher in second marker, when I got a feeling of singing with it, pretty much inspired. The voices are great. Third marker has a less positive sense that made me anxious.","[6.25831276371308, 8.80460812236287, 12.9697389240506]","[0.276, 0.446, 0.071]","[0.721, 0.846, 0.871]",feel really epic makes feel energetic emotional energy higher second marker got feeling singing pretty inspired voices great marker positive sense anxious,familiar,Brahmastra Part One: Shiva,Pritam Chakraborty,Sheva Theme,2022,0/1,Ayan Mukerji,Drama Music,INS172221830
_1cpqpmytm,/audioFolder8//film-score-emotion-survey/audioFolder8/tenet_rainy_night_in_tallinn__ludwig_goransson_sample_2,"First mark when the beat is stronger marker made me feel afraid of something, scared. Anyway, that was uneasy and leaded me to the whole next part in fear but not changing that much until second marker. There, there was a little bit more of secretism but less fear.",[3.22290348101266],[-0.234],[0.316],mark beat stronger marker feel afraid scared uneasy leaded fear changing second marker little bit secretism fear,not-sure,Tenet,Ludwig Göransson,RAINY NIGHT IN TALLINN,2020,0,Christopher Nolan,Action Sci-Fi Thriller,USNLR2000838
_1cpqpmytm,/audioFolder9//film-score-emotion-survey/audioFolder9/tilikums_theme_jeff_beal_blackfish_sample_1,All the clip is really tense. I feel the first part made me feel active and had a mysterious aura. The second mark was making me feel calmer and the sudden change to marker 3 totally aroused me. The next part is mostly flat for me.,"[2.6659414556962, 5.18492879746836, 7.14695411392405]","[-0.174, -0.464, -0.319]","[0.431, 0.646, 0.256]",clip really tense feel feel active mysterious aura second mark making feel calmer sudden change marker totally aroused flat,not-sure,Blackfish,Jeff Beal,Tilikum's Theme,2013,0,Gabriela Cowperthwaite,Documentary,USA2P2235133
_1cpqpmytm,across_the_ocean_thomas_newman_elemental_sample_2,There's a huge positivity in this clip. The constant beat makes me feel energized and motivated. The constant bass is calming but the sound from the flaute and the violins makes me feel a little bit tense (specially when it is finished and you hear the crescendo). It is sound like a background sound but impulses a great feeling of vitality and playing spirit.,"[0.0203718354430379, 1.26293723628692, 7.46340981012658, 12.4451144514768, 5.23556170886076]","[0.511, 0.586, 0.781, 0.916, 0.661]","[0.226, 0.501, 0.341, 0.731, 0.361]",theres huge positivity clip constant beat makes feel energized motivated constant bass calming sound flaute violins makes feel little bit tense specially finished hear crescendo sound like background sound impulses great feeling vitality playing spirit,familiar-feeling-not-familiar,Elemental,Thomas Newman,Across The Ocean,2023,0,Peter Sohn,Animation Adventure Comedy,USWD12327211
_1d30ek8wn,/audioFolder10//film-score-emotion-survey/audioFolder10/youandwhosearmy_radiohead_incendies_sample_1,The song is energic but from the marker I felt some tension,[9.11586077097506],[-0.475],[0.536],song energic marker felt tension,familiar-feeling-not-familiar,Incendies,Radiohead,You and Whose Army?,2010,1,Denis Villeneuve,Drama Mystery,GBAYE0001580
_1d30ek8wn,/audioFolder3//film-score-emotion-survey/audioFolder3/emile_mosseri__bigcountry_minari_sample_2,The song started and I did not know which emotion was coming out. From the first marker sadness has come through and from the second I felt depressed. ,"[2.06336167800454, 10.161320861678]","[-0.56, -0.735]","[-0.539, -0.229]",song started did know emotion coming marker sadness come second felt depressed,familiar-feeling-not-familiar,Minari,Emile Mosseri,Big Country,2020,0,Lee Isaac Chung,Drama,USQX92005303
_1d30ek8wn,/audioFolder4//film-score-emotion-survey/audioFolder4/help_me_make_it_through_the_nightkris_kristoffersoncorsage_sample_2,The song transmits positive feeling to me,[3.38518422146636],[0.73],[0.221],song transmits positive feeling,familiar-feeling-not-familiar,Corsage,Kris Kristofferson,Help Me Make It Through The Night,2022,1,Marie Kreutzer,Biography Drama History,USAT29900870
_1d30ek8wn,/audioFolder5//film-score-emotion-survey/audioFolder5/mexican_institute_of_sound__jalale_fromcoco_sample_2,The songs is excitement and full of energy,"[4.80116224489796, 12.4521373015873]","[0.555, 0.46]","[0.341, 0.591]",songs excitement energy,familiar-feeling-not-familiar,Coco,Mexican Institute of Sound / Camilo Lara,Ja?lale,2017,0,"Lee Unkrich, Adrian Molina",Animation Adventure Comedy,FR9W11818769
_1d30ek8wn,/audioFolder6//film-score-emotion-survey/audioFolder6/mia__sebastians_theme_la_la_land_justin_hurwitz_sample_1,"I felt tension for the entire songs, increasing tension from one marker to another","[4.6033560090703, 10.4199546485261, 11.0638265306123]","[-0.505, -0.715, -0.58]","[0.116, 0.236, 0.666]",felt tension entire songs increasing tension marker,familiar-feeling-not-familiar,La La Land,Justin Hurwitz,Mia & Sebastian's Theme,2016,0,Damien Chazelle,Horror Mystery Thriller,USUG11600660
_1d30ek8wn,/audioFolder7//film-score-emotion-survey/audioFolder7/skinny_vegetarian_boy_mychael_danna_life_of_pi_sample_1,I felt calm and relaxed for the entire duration of the piece,[9.47705782312925],[0.47],[-0.579],felt calm relaxed entire duration piece,familiar-feeling-not-familiar,Life of Pi,Mychael Danna,Skinny Vegetarian Boy,2013,0,Ang Lee,Adventure Drama Fantasy,USSM11206136
_1d30ek8wn,/audioFolder9//film-score-emotion-survey/audioFolder9/the_wings_gustavo_santaolalla_brokeback_mountain_sample_2,The song is sad and from the marker I also felt bored,[6.84988662131519],[-0.545],[-0.539],song sad marker felt bored,familiar-feeling-not-familiar,Brokeback Mountain,Gustavo Santaolalla,The Wings,2006,0,Ang Lee,Horror Mystery Thriller,USUG10500521
_1d30ek8wn,anna_karenin_overture_dario_marianelli_sample_1,"I overall felt a tension, but from the marker ahead I felt somehow calm and excited at the same time ",[10.675],[0.275],[0.626],overall felt tension marker ahead felt calm excited time,familiar-feeling-not-familiar,Whiplash,Justin Hurwitz,Overture,2014,0,Damien Chazelle,Romance Drama,GBUM71205489
_1ke6z3ygs,arrival_johann_johannsson_arrival_sample_2,"I started off feeling dread, but the marker indicates a spike of anxiety ",[12.3786784199364],[-0.733],[-0.72],started feeling dread marker indicates spike anxiety,familiar-feeling-not-familiar,Spencer,Jonny Greenwood,Arrival,2021,0,Pablo Larraín,Drama Mystery Sci-Fi,DEN961630801
_265vz9td6,/audioFolder10//film-score-emotion-survey/audioFolder10/greenbooksoundtracksolongloversislandthebluejays_sample_2,The music made me feel happy. The second marker is when i realised that I recognised the song.,"[2.168, 5.48, 10.16]","[0.73, 0.725, 0.73]","[0.208, 0.538, 0.178]",music feel happy second marker realised recognised song,familiar,Under The Skin,Mica Levi,Love,2013,0,Jonathan Glazer,Drama Music,FR9W11818769
_265vz9td6,/audioFolder4//film-score-emotion-survey/audioFolder4/john_williams_the_fabelmans_sample_1,As the music went on I felt more and more a sense of anticipation,"[6.152, 7.90133333333333, 10.0]","[0.37, 0.375, 0.36]","[0.568, 0.653, 0.743]",music went felt sense anticipation,never-heard-this,The Fabelmans,John Williams,The Fabelmans,2023,0,Steven Spielberg,Drama,USQX92205176
_265vz9td6,/audioFolder5//film-score-emotion-survey/audioFolder5/love_theme_from_the_midwife_pessi_levanto_sample_2,I found the music made me feel sad and with a sort of sense that something bad was going to happen.,"[3.448, 6.08, 8.728, 11.768]","[-0.375, -0.445, -0.525, -0.6]","[-0.161, -0.181, -0.191, -0.191]",music feel sad sort sense bad going happen,never-heard-this,The Midwife,Pessi Levanto,"Love Theme from ""The Midwife""",2017,0,Martin Provost,Drama,GBRKQ2103576
_265vz9td6,/audioFolder6//film-score-emotion-survey/audioFolder6/mr_moustafa_the_grand_budapest_hotel_alexandre_desplat_sample_2,Feeling of happiness and fun which increased as the music went on,"[1.81066666666667, 3.9093333333333296, 5.45066666666667, 13.9306666666667]","[0.28, 0.365, 0.475, 0.59]","[0.368, 0.538, 0.548, 0.548]",feeling happiness fun increased music went,never-heard-this,The Grand Budapest Hotel,Alexandre Desplat,Mr. Moustafa,2014,0,Wes Anderson,Adventure Comedy Crime,USA171491001
_265vz9td6,/audioFolder7//film-score-emotion-survey/audioFolder7/real_gone_kid__deacon_blue_aftersun_sample_2,"First marker was when I realised that I recognised the music and it just got better and I felt excited from then on,","[2.45066666666667, 5.46133333333333]","[0.645, 0.72]","[0.538, 0.533]",marker realised recognised music just got better felt excited,familiar,Aftersun,Ricky Ross/Deacon Blue,Real Gone Kid,2022,1,Charlotte Wells,Drama,GBBBN8800009
_265vz9td6,/audioFolder8//film-score-emotion-survey/audioFolder8/the_hungry_ghost__aaron_cupples_island_of_the_hungry_ghosts_sample_2,I felt really quite distressed by this piece of music.,[5.18933333333333],[-0.745],[0.542],felt really quite distressed piece music,never-heard-this,Island of the Hungry Ghosts,Aaron Cupples,The Hungry Ghost,2018,0,Gabrielle Brady,Documentary,QMB622011006
_265vz9td6,bali_girls__michael_stearns_bonnie_jo_hunt_ron_sunsinger_samsara_sample_2,I felt quite sad when listening to it.,[7.10133333333333],[-0.385],[-0.201],felt quite sad listening,never-heard-this,Samsara,"Michael Stearns, Bonnie Jo Hunt, Ron Sunsinger",Bali Girls,2011,0,Ron Fricke,Documentary Music,US3M51215901
